# Japanese (ja). Plain text — loc/mkloc.py escapes ampersands.
# Terminology: Workflow=ワークフロー, macro=マクロ, node=ノード, trigger=トリガー,
# action=アクション, value=値, transform=変換, port=ポート, armed=有効,
# geofence=ジオフェンス, smart home=スマートホーム, canvas=キャンバス.
# Register: polite です/ます, which is the Japanese app convention.
accessibility_service_label	Ottomatic のボタントリガー
widget_whether_the_engine_is_running	エンジンが動作しているか、いくつのマクロが有効か
widget_which_macro_ran_last_whether	最後に実行されたマクロ、成否、実行時刻
widget_which_triggers	どのトリガー
workflowlist_text	 ·
workflowlist_this_macro	このマクロ
grapheditor_nothing_selected	何も選択されていません
grapheditor_selection_mixed	%1$s、%2$s
widget_engine_running	エンジン動作中
widget_engine_stopped	エンジン停止中
widget_armed_of_total	%2$d 件中 %1$d 件が有効
widget_state_running	実行中…
widget_state_done	完了
widget_state_failed	失敗
widget_state_ready	待機中
widget_state_off	オフ
widget_outcome_running	実行中
widget_outcome_ok	成功
widget_outcome_failed	失敗
widget_last_run_line	%1$s · %2$s · %3$s
widget_ago_just_now	たった今
widget_ago_minutes	%1$d 分前
widget_ago_hours	%1$d 時間前
widget_ago_days	%1$d 日前
widget_ago_a_while	しばらく前
nfc_written	書き込みました。
nfc_could_not_write	このタグに書き込めませんでした。
smarthome_up_to_date	最新です
smarthome_trusted_works_again	信頼しました。ハブは再び動作するはずです。
smarthome_button_not_pressed	時間内にボタンが押されませんでした。もう一度お試しください
workflowlist_new_workflow	新しいワークフロー
mail_account_deleted	そのアカウントは削除されました
mail_account_needs_password	このアカウントはパスワードの再入力が必要です
mail_signed_in	ログインしました。送信・受信ともに動作します。
kind_trigger	トリガー
kind_action	アクション
kind_value	値
kind_transform	変換
kind_triggers	トリガー
kind_actions	アクション
kind_values	値
kind_transforms	変換
console_nothing_at_level	このレベルには何もありません
console_nothing_logged	まだログはありません
console_widen_filter	フィルターを広げると、このワークフローの残りの履歴が見られます。
console_run_the_workflow	ワークフローを実行してください。エラー、action.log のメッセージ、スクリプトの console.log がここに表示されます。
console_filter_all	すべて
console_filter_info	情報
console_filter_problems	問題
editor_tab_problems	問題
editor_tab_console	コンソール
editor_tab_variables	変数
editor_back_to_graph	グラフに戻る
editor_back_to_variables	このワークフローの変数に戻る
permissions_node_section_blurb	これらは、あなたが配置したトリガーとアクションによるものです。権限がないと、ノードは何もせず、何も言いません。
permissions_app_section_blurb	個々のノードではなく、アプリ自体が使用します。
permissions_granted	付与済み
permissions_not_granted	未付与
permissions_revoke	取り消す
permissions_grant	付与
permissions_background_location_hint	Android が専用の画面で確認します。「常に許可」を選んでください。
smarthome_choose_a_scene	シーンを選択
smarthome_choose_a_light	照明を選択
smarthome_no_hub_yet	ハブはまだありません。追加すると、マクロから照明を操作できます。
smarthome_nothing_read	このハブからはまだ何も読み取れていません。電源が入っているか確認して、もう一度お試しください。
smarthome_rooms	部屋
smarthome_zones	ゾーン
smarthome_white_only	白色のみ
smarthome_everything_in_it	その中のすべて
mail_add_account	アカウントを追加
mail_edit_account	アカウントを編集
mail_app_password	アプリパスワード
mail_app_password_keep	アプリパスワード（空のままにすると保持）
mail_security_none	なし（非推奨）
mail_security_starttls	STARTTLS
mail_security_tls	TLS / SSL
workflowlist_launcher_cannot_place	このランチャーは、アプリが代わりにウィジェットを配置することを許可していません。ホーム画面のウィジェット一覧から実行タイルをご自身で追加してください。どのトリガー用かを尋ねてきます。
workflowlist_delete_confirm	「%1$s」を削除しますか？この操作は元に戻せません。
workflowlist_armed	有効
workflowlist_off	オフ
workflowlist_armed_with_problems	有効 · %1$s
grapheditor_consequence_never_fires	発火することはありません
grapheditor_consequence_reads_nothing	何も読み取れません
grapheditor_consequence_fails	実行のたびに失敗します
grapheditor_permission_joiner	 と
grapheditor_node_needs_permissions	%2$sを付与するまで、このノードは%1$s。
problems_path_arrow	 →
problems_skipped_nodes	スキップ: %1$s
problems_wire_skipped	このワイヤーはスキップされます
problems_where_separator	  ·
variables_edit_named	%1$s を編集
variables_empty	空
variables_constant_is	定数 · %1$s
variables_equals	= %1$s
variables_starts_at_value	初期値 %1$s
variables_unset	未設定
variables_subtitle	%1$s · %2$s
geofence_edit_named	%1$s を編集
geofence_coordinates	%1$.4f, %2$.4f
geofence_place_subtitle	%1$s · %2$s
geofence_radius_km	%1$.1f km
geofence_radius_m	%1$d m
config_now	現在
config_set	設定
config_add_row	%1$sを追加
config_port_carries_list	このポートはリストを運びます
config_port_carries_one	このポートは単一の値を運びます
config_hub_removed	%1$s · ハブが削除されました
config_deleted_account	削除されたアカウント
config_deleted_connection	削除された接続
config_global_variable	グローバル · %1$s
config_none_selected	未選択
variables_edit_variable	変数を編集
variables_every_workflow	すべてのワークフロー
variables_empty_local	まだ何もありません。ここの変数はこのマクロだけのものです。
variables_empty_global	まだ何もありません。ここの変数はすべてのマクロで共有されます。
nfc_kind_text	テキスト
nfc_kind_link	リンク
nfc_rename_named	%1$s の名前を変更
mail_edit_named	%1$s を編集
grapheditor_has_error	エラーがあります
grapheditor_has_warning	警告があります
grapheditor_cannot_connect_kinds	実行ポートとデータポートは接続できません
smarthome_settings_for	%1$s の設定
smarthome_hub_subtitle	%1$s · 照明 %2$d 件 · シーン %3$d 件
config_socket_use_typed_connected	%1$s には入力した値を使う（%2$s に接続中）
config_socket_use_typed_free	%1$s には入力した値を使う（何も接続されていません）
config_socket_feed	%1$s に上流のデータを流し込む
grapheditor_delete_confirm	「%1$s」を削除しますか？実行ログも一緒に削除されます。この操作は元に戻せません。
grapheditor_zoom_percent	%1$d%%
grapheditor_connect_from	%1$s から接続
nfc_tag_says	このタグの内容: %1$s
plugins_node_rejected	%1$s は追加されませんでした: %2$s
widget_more_hidden	他 %1$d 件 — サイズを変更すると表示されます
widget_showing_all	%1$d 件のトリガーをすべて表示しています。スイッチをオフにすると個別に選べます。
api_allow_app_to_run	%1$s にマクロの実行を許可しますか？
api_generate_key	キーを生成
api_replace_key	キーを差し替え
problems_summary_separator	 ·
ai_model_answered	モデルの回答: %1$s
mail_choose_account_first	先にこのノードでアカウントを選んでください。フォルダーはサーバー上にあるため、Ottomatic はどのサーバーに尋ねるかを知る必要があります。
mail_folder_list_unreadable	フォルダー一覧を読み取れませんでした。
mail_no_usable_folders	このアカウントには、メールを格納できるフォルダーが報告されていません。
shortcut_macro_gone	そのマクロはすでに存在しません
shortcut_running	実行中…
shortcut_running_named	%1$s を実行中
ai_getting_a_key	キーを取得する
ai_pointing_at_own_server	自分のサーバーを指定する
api_key_copied	キーをコピーしました
api_allowed_on	許可日: %1$s
geofence_small_radius_warning	%1$d m を下回ると、システムは電池のために位置精度を犠牲にするため、出入りが見逃されたり遅れて通知されたりしがちです。
grapheditor_port_path	%1$s › %2$s
shortcut_macro_and_trigger	%1$s · %2$s
