app_name	Ottomatic
api_allow_app_to_run	Allow %1$s to run your macros?
api_generate_key	Generate a key
api_replace_key	Replace the key
problems_summary_separator	 · 
ai_model_answered	The model answered: %1$s
mail_choose_account_first	Choose an account on this node first — folders live on the server, so Ottomatic has to know which one to ask.
mail_folder_list_unreadable	The folder list could not be read.
mail_no_usable_folders	This account reports no folders that can hold mail.
shortcut_macro_gone	That macro no longer exists
shortcut_running	Running…
shortcut_running_named	Running %1$s
ai_getting_a_key	Getting a key
ai_pointing_at_own_server	Pointing at your own server
api_key_copied	Key copied
api_allowed_on	Allowed on %1$s
geofence_small_radius_warning	Below %1$d m the system trades location accuracy for battery, so crossings are often missed or reported late.
shortcut_macro_and_trigger	%1$s · %2$s
grapheditor_port_path	%1$s › %2$s
smarthome_home_assistant	Home Assistant
smarthome_a_server_you_already_run	A server you already run
smarthome_ha_reached	Reached it. The token works.
ha_connect_home_assistant	Connect Home Assistant
ha_name_your_hub	Name your hub
ha_looking_for_instances	Looking for Home Assistant on your Wi-Fi…
ha_address	Address
ha_access_token	Long-lived access token
ha_test	Test
ha_paste	Paste
ha_open_profile	Open the profile page
ha_token_steps	In Home Assistant, open your profile, choose Security, scroll to Long-lived access tokens and create one. It is shown once — copy it, then paste it here.
ha_cleartext_warning	This address is not encrypted. That is normal for a server on your own network; over the internet it would send your token in the clear.
ha_connected_this_is_the_name	Connected. This is the name your macros will show.
ha_all_entities	Entities
ha_replace_token	Replace token
ha_auth_token	Long-lived token
ha_auth_oauth	Signed in
ha_authentication	Authentication
smarthome_sign_in_again	Sign in again
config_show_suggestions	Show suggestions
ha_show_everything	Show everything
ha_show_matching	Show only what matches
ha_choose_an_entity	Choose an entity
ha_choose_a_service	Choose a service
ha_choose_a_hub	Choose a Home Assistant
ha_choose_a_trigger	Choose what starts it
ha_trigger_built_in	Any change
ha_any_state_change	Whenever it changes
ha_any_state_change_hint	Every state change, with no further conditions
ha_sign_in	Or sign in to Home Assistant
ha_no_hub_yet	No Home Assistant yet. Add one in Smart home.
